id,coucodiso,stopidszdc,namesinwri,fixrouidci,zastid,zastx,zasty,altname,loc_type,X
44,CZ,35502,Zábřeh na Moravě,xKADR034537B,997,16.8870404242771,49.8721465140669,,S1,-570127
46,CZ,35512,Postřelmov,xKADR034537B,998,16.9230287312126,49.9101405768722,,S1,-567117
1734,CZ,35112,Uničov,xxxx0001628A,999,17.115915977315,49.7789917176296,,S1,-554805
1733,CZ,35002,Troubelice,xxxx0001628A,1000,17.0763989082733,49.8048268667251,,S1,-557345
1736,CZ,35122,Újezd u Uničova,xxxx0001628A,1001,17.1846299999085,49.7752834976123,,S1,-549922
1730,CZ,33982,Libina,xxxx0001628A,1002,17.0622519696683,49.8786116179058,,S1,-557525
2775,CZ,34402,Olomouc-Nová Ulice,xxxx0013800A,1003,17.2443314947579,49.5873126955232,,S1,-547714
2774,CZ,34372,Olomouc město,xxxx0013800A,1004,17.2414178989629,49.5941099646096,,S1,-547849
1413,CZ,35282,Velká Bystřice,xxxx0001122A,1006,17.3451496886594,49.5932414767861,,S1,-540396
1411,CZ,33602,Hlubočky-Mariánské Údolí,xxxx0001122A,1007,17.3944593824474,49.6130787938101,,S1,-536634
1741,CZ,33092,Bohuňovice,xxxx0001628A,1008,17.2815567818373,49.6630265650727,,S1,-544206
1739,CZ,34942,Šternberk,xxxx0001628A,1009,17.2862836270298,49.7206623694052,,S1,-543235
1409,CZ,33592,Hlubočky,xxxx0001122A,1010,17.4084864857846,49.6475954013932,,S1,-535253
1407,CZ,33752,Hrubá Voda,xxxx0001122A,1011,17.4385552543199,49.6696650837345,,S1,-532855
1404,CZ,33422,Domašov nad Bystřicí,xxxx0001122A,1012,17.444836723943,49.7403953829248,,S1,-531645
1402,CZ,33322,Dětřichov nad Bystřicí,xxxx0001122A,1013,17.3949223741277,49.8384395717472,,S1,-534167
2163,CZ,33232,Břidličná,xxxx0003510A,1014,17.3828726423864,49.9134626978767,,S1,-534218
1403,CZ,34302,Moravský Beroun,xxxx0001122A,1015,17.4321820666918,49.7845281690912,,S1,-532078
1175,CZ,33755,Zlín střed,xxxx0000894A,1016,17.6585682982647,49.2262601812221,,S1,-521663
1766,CZ,33595,Hlinsko pod Hostýnem,xxxx0001640A,1017,17.6317240324346,49.3709847830866,,S1,-522097
1765,CZ,33585,Bystřice pod Hostýnem,xxxx0001640A,1018,17.6653344089797,49.3932233661264,,S1,-519435
2795,CZ,36805,Vizovice,xxxx0014200A,1019,17.8429245135819,49.2200846078335,,S1,-508356
1764,CZ,33605,Loukov,xxxx0001640A,1020,17.715147788147,49.4104703005292,,S1,-515657
1763,CZ,35475,Osíčko,xxxx0001640A,1021,17.7422872403704,49.4231724131159,,S1,-513565
409,CZ,33472,Drahotuše,xxxx0000100A,1022,17.6824582745896,49.5521802074357,,S1,-516548
534,CZ,33732,Hranice na Moravě město,xxxx0000120A,1023,17.7415914053426,49.5458407078162,,S1,-512353
410,CZ,33722,Hranice na Moravě,xxxx0000100A,1024,17.7421592304327,49.5652987821751,,S1,-512112
1762,CZ,34646,Rajnochovice,xxxx0001640A,1025,17.7973224364564,49.4320975674469,,S1,-509499
1761,CZ,34636,Kunovice-Loučka,xxxx0001640A,1026,17.8185174669464,49.440162679713,,S1,-507886
1759,CZ,33236,Branky na Moravě,xxxx0001640A,1027,17.9058081106331,49.4594367915739,,S1,-501388
144,CZ,33812,Hustopeče nad Bečvou,xKADR044723C,1028,17.8643929013948,49.523681784101,,S1,-503728
524,CZ,35142,Valašská Polanka,xxxx0000120A,1029,17.9992673955613,49.2579329789488,,S1,-496639
2708,CZ,35452,Hovězí,xxxx0013251A,1030,18.0599391607293,49.3048624967944,,S1,-491779
526,CZ,35442,Vsetín,xxxx0000120A,1031,17.9940930995169,49.3354548642798,,S1,-496244
527,CZ,33842,Jablůnka,xxxx0000120A,1032,17.947360312953,49.3770788965875,,S1,-499211
2712,CZ,33492,Halenkov,xxxx0013251A,1033,18.1540100186887,49.3221900923346,,S1,-484796
2716,CZ,35322,Karolinka,xxxx0013251A,1034,18.2452383375914,49.3502877960549,,S1,-477921
146,CZ,35162,Valašské Meziříčí,xKADR044723C,1035,17.9613004593662,49.4745077183049,,S1,-497231
145,CZ,35202,Lhotka nad Bečvou,xKADR044723C,1036,17.9328270987742,49.5038392050171,,S1,-498993
166,CZ,33622,Hostašovice,xKADR045295C,1037,18.0166035330663,49.5210204962225,,S1,-492779
167,CZ,33662,Mořkov hlavní trať,xKADR045295C,1038,18.0683396662679,49.5289491755533,,S1,-488970
